game_num,away_team,home_team,away_score,home_score
1,NYC,BOS,1,4
2,WAS,CLE,2,1
3,BKN,DET,1,4
4,PIT,PHI,8,0
5,HOU,SFN,4,1
6,CHR,KCM,2,1
7,LAP,OAK,2,1
8,SDT,OKC,5,0
9,NYC,BOS,1,5
10,WAS,CLE,0,3
11,BKN,DET,1,2
12,PIT,PHI,4,5
13,HOU,SFN,2,3
14,CHR,KCM,3,2
15,LAP,OAK,3,0
16,SDT,OKC,0,2
17,NYC,BOS,3,5
18,WAS,CLE,0,5
19,BKN,DET,1,5
20,PIT,PHI,5,1
21,HOU,SFN,1,0
22,CHR,KCM,2,6
23,LAP,OAK,5,1
24,SDT,OKC,5,4
25,NYC,PIT,1,3
26,WAS,BKN,4,3
27,CLE,DET,1,7
28,BOS,PHI,1,7
29,HOU,SDT,3,1
30,CHR,LAP,14,6
31,OKC,SFN,7,4
32,KCM,OAK,3,1
33,NYC,PIT,4,3
34,WAS,BKN,4,1
35,CLE,DET,2,7
36,BOS,PHI,4,1
37,HOU,SDT,7,1
38,CHR,LAP,6,7
39,OKC,SFN,0,2
40,KCM,OAK,4,0
41,NYC,PIT,2,5
42,WAS,BKN,8,3
43,CLE,DET,5,2
44,BOS,PHI,1,3
45,HOU,SDT,0,4
46,CHR,LAP,3,4
47,OKC,SFN,2,5
48,KCM,OAK,1,5
49,NYC,PIT,0,3
50,WAS,BKN,5,0
51,CLE,DET,2,1
52,BOS,PHI,1,4
53,HOU,SDT,2,1
54,CHR,LAP,3,2
55,OKC,SFN,4,5
56,KCM,OAK,0,2
57,BKN,BOS,1,3
58,PIT,CLE,5,1
59,OAK,HOU,4,2
60,KCM,SDT,1,4
61,PHI,WAS,0,3
62,DET,NYC,4,5
63,BKN,BOS,0,2
64,PIT,CLE,1,4
65,OAK,HOU,2,3
66,KCM,SDT,1,2
67,LAP,SFN,3,2
68,CHR,OKC,5,1
69,PHI,WAS,5,1
70,DET,NYC,0,3
71,BKN,BOS,3,1
72,PIT,CLE,2,1
73,OAK,HOU,2,1
74,KCM,SDT,2,5
75,LAP,SFN,4,1
76,CHR,OKC,5,3
77,PHI,WAS,1,4
78,DET,NYC,2,3
79,LAP,SFN,5,2
80,SDT,OAK,4,1
81,CHR,OKC,6,3
82,BOS,WAS,1,5
83,DET,PIT,2,3
84,NYC,CLE,2,5
85,BKN,PHI,0,8
86,SFN,CHR,1,5
87,HOU,KCM,3,2
88,SDT,OAK,1,4
89,LAP,OKC,2,5
90,BOS,WAS,0,3
91,DET,PIT,7,4
92,NYC,CLE,5,1
93,BKN,PHI,3,6
94,SFN,CHR,1,4
95,HOU,KCM,6,4
96,SDT,OAK,2,3
97,LAP,OKC,5,2
98,BOS,WAS,3,5
99,DET,PIT,5,3
100,NYC,CLE,2,7
101,BKN,PHI,4,1
102,SFN,CHR,7,5
103,HOU,KCM,4,5
104,SDT,OAK,3,1
105,LAP,OKC,3,4
106,WAS,CHR,5,3
107,BKN,LAP,4,2
108,BOS,SFN,7,1
109,CLE,KCM,5,2
110,PHI,OKC,1,3
111,WAS,CHR,4,3
112,NYC,HOU,2,0
113,PIT,SDT,4,1
114,BKN,LAP,4,6
115,BOS,SFN,0,7
116,CLE,KCM,0,2
117,DET,OAK,5,3
118,PHI,OKC,5,1
119,WAS,CHR,5,3
120,NYC,HOU,5,1
121,PIT,SDT,7,8
122,BKN,LAP,3,5
123,BOS,SFN,3,4
124,CLE,KCM,1,2
125,DET,OAK,2,1
126,PHI,OKC,3,2
127,NYC,HOU,2,3
128,PIT,SDT,3,9
129,DET,OAK,7,0
130,NYC,CHR,0,9
131,WAS,HOU,4,3
132,BKN,SDT,3,5
133,PIT,LAP,2,4
134,CLE,SFN,5,2
135,BOS,KCM,4,6
136,PHI,OAK,1,5
137,DET,OKC,2,3
138,NYC,CHR,4,5
139,WAS,HOU,0,2
140,BKN,SDT,1,0
141,PIT,LAP,2,5
142,CLE,SFN,5,3
143,BOS,KCM,4,5
144,PHI,OAK,0,5
145,DET,OKC,4,3
146,NYC,CHR,4,3
147,WAS,HOU,4,8
148,BKN,SDT,3,2
149,PIT,LAP,0,3
150,CLE,SFN,5,1
151,BOS,KCM,2,3
152,PHI,OAK,0,4
153,DET,OKC,2,3
154,WAS,PIT,0,2
155,NYC,BKN,1,7
156,CLE,PHI,3,7
157,HOU,LAP,3,1
158,OKC,KCM,4,3
159,SFN,OAK,2,1
160,WAS,PIT,7,1
161,NYC,BKN,1,6
162,BOS,DET,4,1
163,CLE,PHI,1,3
164,CHR,SDT,9,4
165,HOU,LAP,2,3
166,OKC,KCM,1,2
167,SFN,OAK,1,7
168,WAS,PIT,2,3
169,NYC,BKN,3,5
170,BOS,DET,6,2
171,CLE,PHI,4,0
172,CHR,SDT,4,6
173,HOU,LAP,4,1
174,OKC,KCM,2,1
175,SFN,OAK,2,1
176,WAS,NYC,0,4
177,BOS,DET,1,3
178,CHR,SDT,2,3
179,OKC,KCM,2,1
180,WAS,NYC,1,2
181,BKN,PIT,5,2
182,CLE,BOS,0,3
183,PHI,DET,2,4
184,HOU,CHR,5,3
185,LAP,SDT,3,7
186,KCM,SFN,8,0
187,OAK,OKC,3,5
188,WAS,NYC,2,1
189,BKN,PIT,5,1
190,CLE,BOS,0,4
191,PHI,DET,0,4
192,HOU,CHR,4,9
193,LAP,SDT,2,1
194,KCM,SFN,6,1
195,OAK,OKC,2,5
196,WAS,NYC,0,8
197,BKN,PIT,3,4
198,CLE,BOS,1,2
199,PHI,DET,4,3
200,HOU,CHR,2,3
201,LAP,SDT,1,2
202,KCM,SFN,1,3
203,OAK,OKC,7,0
204,PHI,BOS,0,3
205,DET,CLE,3,4
206,SDT,HOU,2,1
207,OAK,KCM,4,0
208,SFN,OKC,1,4
209,BKN,WAS,4,1
210,PIT,NYC,2,1
211,PHI,BOS,2,1
212,DET,CLE,2,6
213,LAP,CHR,0,4
214,SDT,HOU,0,2
215,OAK,KCM,5,2
216,SFN,OKC,1,5
217,BKN,WAS,5,4
218,PIT,NYC,1,6
219,PHI,BOS,5,3
220,DET,CLE,2,1
221,LAP,CHR,4,1
222,SDT,HOU,4,1
223,OAK,KCM,0,7
224,SFN,OKC,0,3
225,BKN,WAS,2,1
226,PIT,NYC,1,4
227,PHI,BOS,0,5
228,LAP,CHR,2,3
229,SFN,OKC,1,0
230,DET,WAS,1,7
231,PHI,NYC,6,1
232,BOS,PIT,7,0
233,CLE,BKN,3,9
234,OAK,CHR,6,4
235,OKC,HOU,3,1
236,SFN,SDT,0,3
237,KCM,LAP,4,0
238,DET,WAS,1,5
239,PHI,NYC,1,4
240,BOS,PIT,2,1
241,CLE,BKN,4,3
242,OAK,CHR,2,5
243,OKC,HOU,0,3
244,SFN,SDT,1,0
245,KCM,LAP,1,2
246,DET,WAS,0,2
247,PHI,NYC,5,2
248,BOS,PIT,0,2
249,CLE,BKN,3,0
250,OAK,CHR,2,9
251,OKC,HOU,3,2
252,SFN,SDT,1,4
253,KCM,LAP,0,3
254,DET,LAP,2,3
255,BKN,OAK,2,3
256,CLE,CHR,5,2
257,BOS,HOU,0,8
258,PHI,SDT,6,4
259,DET,LAP,0,1
260,NYC,SFN,2,5
261,WAS,KCM,2,3
262,BKN,OAK,1,5
263,PIT,OKC,1,2
264,CLE,CHR,1,5
265,BOS,HOU,2,3
266,PHI,SDT,5,0
267,DET,LAP,2,5
268,NYC,SFN,0,2
269,WAS,KCM,1,2
270,BKN,OAK,3,1
271,PIT,OKC,5,0
272,CLE,CHR,2,3
273,BOS,HOU,5,2
274,PHI,SDT,2,3
275,NYC,SFN,1,2
276,WAS,KCM,4,3
277,PIT,OKC,0,4
278,SFN,WAS,4,1
279,KCM,NYC,2,3
280,OAK,PIT,1,5
281,OKC,BKN,3,4
282,CHR,BOS,4,5
283,HOU,CLE,1,3
284,SDT,DET,0,4
285,LAP,PHI,2,3
286,SFN,WAS,3,2
287,KCM,NYC,4,5
288,OAK,PIT,0,4
289,OKC,BKN,0,6
290,CHR,BOS,9,0
291,HOU,CLE,4,0
292,SDT,DET,2,1
293,LAP,PHI,0,3
294,SFN,WAS,2,0
295,KCM,NYC,1,2
296,OAK,PIT,3,4
297,OKC,BKN,1,5
298,CHR,BOS,5,2
299,HOU,CLE,5,2
300,SDT,DET,4,1
301,LAP,PHI,6,1
302,PHI,BKN,2,1
303,WAS,BOS,6,0
304,NYC,CLE,4,1
305,PIT,DET,0,5
306,KCM,HOU,5,4
307,OKC,LAP,2,1
308,CHR,SFN,5,2
309,SDT,OAK,1,4
310,PHI,BKN,2,8
311,WAS,BOS,5,2
312,NYC,CLE,1,3
313,PIT,DET,4,1
