id,day,time,game_id,away_id,away_team,home_id,home_team,away_runs,home_runs
1,1,1905,GM_1,6,CLE,4,BKN,,
2,1,1905,GM_2,3,PIT,5,BOS,,
3,1,1905,GM_3,2,NYC,8,PHI,,
4,1,1905,GM_4,11,SDT,13,SFN,,
5,1,1905,GM_5,12,LAP,14,KCM,,
6,1,1905,GM_6,9,CHR,15,OAK,,
7,2,1905,GM_7,7,DET,1,WAS,,
8,2,1905,GM_8,6,CLE,4,BKN,,
9,2,1905,GM_9,3,PIT,5,BOS,,
10,2,1905,GM_10,2,NYC,8,PHI,,
11,2,1905,GM_11,16,OKC,10,HOU,,
12,2,1905,GM_12,11,SDT,13,SFN,,
13,2,1905,GM_13,12,LAP,14,KCM,,
14,2,1905,GM_14,9,CHR,15,OAK,,
15,3,1905,GM_15,7,DET,1,WAS,,
16,3,1905,GM_16,6,CLE,4,BKN,,
17,3,1905,GM_17,3,PIT,5,BOS,,
18,3,1905,GM_18,2,NYC,8,PHI,,
19,3,1905,GM_19,16,OKC,10,HOU,,
20,3,1905,GM_20,11,SDT,13,SFN,,
21,3,1905,GM_21,12,LAP,14,KCM,,
22,3,1905,GM_22,9,CHR,15,OAK,,
23,4,1905,GM_23,7,DET,1,WAS,,
24,4,1905,GM_24,3,PIT,4,BKN,,
25,4,1905,GM_25,16,OKC,10,HOU,,
26,4,1905,GM_26,11,SDT,12,LAP,,
27,5,1905,GM_27,1,WAS,2,NYC,,
28,5,1905,GM_28,3,PIT,4,BKN,,
29,5,1905,GM_29,5,BOS,6,CLE,,
30,5,1905,GM_30,7,DET,8,PHI,,
31,5,1905,GM_31,9,CHR,10,HOU,,
32,5,1905,GM_32,11,SDT,12,LAP,,
33,5,1905,GM_33,13,SFN,14,KCM,,
34,5,1905,GM_34,15,OAK,16,OKC,,
35,6,1905,GM_35,1,WAS,2,NYC,,
36,6,1905,GM_36,3,PIT,4,BKN,,
37,6,1905,GM_37,5,BOS,6,CLE,,
38,6,1905,GM_38,7,DET,8,PHI,,
39,6,1905,GM_39,9,CHR,10,HOU,,
40,6,1905,GM_40,11,SDT,12,LAP,,
41,6,1905,GM_41,13,SFN,14,KCM,,
42,6,1905,GM_42,15,OAK,16,OKC,,
43,7,1905,GM_43,1,WAS,2,NYC,,
44,7,1905,GM_44,3,PIT,4,BKN,,
45,7,1905,GM_45,5,BOS,6,CLE,,
46,7,1905,GM_46,7,DET,8,PHI,,
47,7,1905,GM_47,9,CHR,10,HOU,,
48,7,1905,GM_48,11,SDT,12,LAP,,
49,7,1905,GM_49,13,SFN,14,KCM,,
50,7,1905,GM_50,15,OAK,16,OKC,,
51,8,1905,GM_51,6,CLE,1,WAS,,
52,8,1905,GM_52,5,BOS,2,NYC,,
53,8,1905,GM_53,8,PHI,3,PIT,,
54,8,1905,GM_54,7,DET,4,BKN,,
55,8,1905,GM_55,14,KCM,9,CHR,,
56,8,1905,GM_56,13,SFN,10,HOU,,
57,8,1905,GM_57,16,OKC,11,SDT,,
58,8,1905,GM_58,15,OAK,12,LAP,,
59,9,1905,GM_59,6,CLE,1,WAS,,
60,9,1905,GM_60,5,BOS,2,NYC,,
61,9,1905,GM_61,8,PHI,3,PIT,,
62,9,1905,GM_62,7,DET,4,BKN,,
63,9,1905,GM_63,14,KCM,9,CHR,,
64,9,1905,GM_64,13,SFN,10,HOU,,
65,9,1905,GM_65,16,OKC,11,SDT,,
66,9,1905,GM_66,15,OAK,12,LAP,,
67,10,1905,GM_67,6,CLE,1,WAS,,
68,10,1905,GM_68,5,BOS,2,NYC,,
69,10,1905,GM_69,8,PHI,3,PIT,,
70,10,1905,GM_70,7,DET,4,BKN,,
71,10,1905,GM_71,14,KCM,9,CHR,,
72,10,1905,GM_72,13,SFN,10,HOU,,
73,10,1905,GM_73,16,OKC,11,SDT,,
74,10,1905,GM_74,15,OAK,12,LAP,,
75,11,1905,GM_75,4,BKN,1,WAS,,
76,11,1905,GM_76,8,PHI,5,BOS,,
77,11,1905,GM_77,12,LAP,9,CHR,,
78,11,1905,GM_78,16,OKC,13,SFN,,
79,12,1905,GM_79,4,BKN,1,WAS,,
80,12,1905,GM_80,2,NYC,3,PIT,,
81,12,1905,GM_81,8,PHI,5,BOS,,
82,12,1905,GM_82,7,DET,6,CLE,,
83,12,1905,GM_83,12,LAP,9,CHR,,
84,12,1905,GM_84,11,SDT,10,HOU,,
85,12,1905,GM_85,16,OKC,13,SFN,,
86,12,1905,GM_86,15,OAK,14,KCM,,
87,13,1905,GM_87,4,BKN,1,WAS,,
88,13,1905,GM_88,2,NYC,3,PIT,,
89,13,1905,GM_89,8,PHI,5,BOS,,
90,13,1905,GM_90,7,DET,6,CLE,,
91,13,1905,GM_91,12,LAP,9,CHR,,
92,13,1905,GM_92,11,SDT,10,HOU,,
93,13,1905,GM_93,16,OKC,13,SFN,,
94,13,1905,GM_94,15,OAK,14,KCM,,
95,14,1905,GM_95,4,BKN,1,WAS,,
96,14,1905,GM_96,2,NYC,3,PIT,,
97,14,1905,GM_97,8,PHI,5,BOS,,
98,14,1905,GM_98,7,DET,6,CLE,,
99,14,1905,GM_99,12,LAP,9,CHR,,
100,14,1905,GM_100,11,SDT,10,HOU,,
101,14,1905,GM_101,16,OKC,13,SFN,,
