player_id,TM,POS,AGE,FIRST,LAST,B,T,BAT_PROFILE,AVG,CLU,SPD,FLD,b_BABIP,b_BB,b_SO,b_HP,b_HR,b_IH,b_SL,b_DL,b_TL,b_GBFB,p_BABIP,p_BB,p_SO,p_HP,p_HR,p_IH,p_SL,p_DL,p_TL,p_GBFB
1,CHR,CF,34,Kevin,Kiermaier,L,R,2,0.197,-0.31,6.9,0.999,0.295,0.085,0.181,0.008,0.082,0.035,0.173,0.048,0.005,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
2,CHR,DH,29,Shohei,Ohtani,L,R,5,0.31,-0.46,8.1,0.999,0.295,0.085,0.227,0.008,0.083,0.035,0.147,0.062,0.008,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
3,CHR,LF,31,Teoscar,Hernandez,R,R,5,0.272,0.26,4.4,0.999,0.295,0.085,0.226,0.008,0.026,0.035,0.172,0.042,0.004,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
4,CHR,1B,34,Freddie,Freeman,L,R,5,0.282,-0.78,4.1,0.999,0.295,0.085,0.216,0.008,0.092,0.035,0.161,0.064,0.007,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
5,CHR,C,29,Will,Smith,R,R,4,0.248,0.69,3.2,0.999,0.295,0.085,0.225,0.008,0.05,0.035,0.142,0.037,0.005,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
6,CHR,SS,31,Mookie,Betts,R,R,1,0.289,-0.06,6.3,0.999,0.295,0.085,0.161,0.008,0.066,0.035,0.154,0.066,0.007,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
7,CHR,2B,26,Gavin,Lux,L,R,1,0.251,0.84,4.3,0.999,0.295,0.085,0.192,0.008,0.064,0.035,0.158,0.068,0.006,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
8,CHR,RF,23,Andy,Pages,R,R,2,0.248,-0.28,3.3,0.999,0.295,0.085,0.248,0.008,0.088,0.035,0.180,0.057,0.003,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
9,CHR,3B,32,Enrique,Hernandez,R,R,3,0.229,0.93,1.6,0.999,0.295,0.085,0.169,0.008,0.076,0.035,0.135,0.057,0.004,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
10,CHR,3B,33,Max,Muncy,L,R,3,0.232,-0.66,3,0.999,0.295,0.085,0.188,0.008,0.039,0.035,0.130,0.038,0.004,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
11,CHR,LF,33,Chris,Taylor,R,R,2,0.202,-0.1,5.3,0.999,0.295,0.085,0.215,0.008,0.021,0.035,0.159,0.035,0.003,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
12,CHR,C,34,Austin,Barnes,R,R,1,0.264,0.61,3.6,0.999,0.295,0.085,0.248,0.008,0.024,0.035,0.144,0.044,0.001,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
13,CHR,CF,29,Tommy,Edman,B,R,2,0.237,0.24,6.8,0.999,0.295,0.085,0.219,0.008,0.094,0.035,0.179,0.068,0.007,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
1,CHR,SP,28,Michael,Kopech,R,R,4,0.183,-0.27,6.9,0.999,0.295,0.085,0.17,0.008,0.002,0.035,0.149,0.056,0.005,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
2,CHR,SP,29,Brent,Honeywell,R,R,5,0.235,0.05,8.1,0.999,0.295,0.085,0.235,0.008,0.024,0.035,0.142,0.059,0.009,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
